source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
Yasothon,AmnatCharoen,115,115,1332,422,422,115,0.3648,18.9696,697
Yasothon,RoiEt,115,115,1473,422,422,115,0.3648,17.1456,771
Yasothon,SiSaKet,115,115,855,422,422,115,0.3648,29.5488,447
Yasothon,UbonRatchathani1,115,115,666,211,211,115,0.3648,18.9696,697
PowerProspect1,Ayutthaya1,750,750,4222861,12470,12470,750,0.2544,0.2544,2211084
Rojana1Sc1,Ayutthaya1,750,750,4222861,12470,12470,750,0.2544,0.2544,2211084
AyuthayaMill1,Ayutthaya2,750,750,4222861,12470,12470,750,0.2544,0.2544,2211084
WangNoi1Sc1,WangNoi,750,750,4222861,12470,12470,750,0.2544,0.2544,2211084
WangNoi2Sc1,WangNoi,750,750,4222861,12470,12470,750,0.2544,0.2544,2211084
Bangchakrefineryu1,BangchakRefinery,750,750,4222861,12470,12470,750,0.2544,0.2544,2211084
LatKrabangSc1,BangchakRefinery,750,750,4222861,12470,12470,750,0.2544,0.2544,2211084
